acct_id,contract_id,term,start_date,end_date,date_offered,date_signed,date_countersigned,add_datetime,event_name,section_name,row_name,seat_num,last_seat,num_seats,price_code,paid,printed,group_flag,consignment,comp_name,purchase_price,block_purchase_price,,description
170647,13302,3,01/01/2020,31/12/2022,25/09/2019,25/09/2019,25/09/2019,25/09/2019,RENEWALS,501,A,1,4,4,Y,Y,0,N,N,Not Comp,0,0,,
170647,13301,3,01/01/2020,31/12/2022,25/09/2019,25/09/2019,25/09/2019,25/09/2019,RENEWALS,501,A,5,6,2,Y,Y,0,N,N,Not Comp,0,0,,
212175,14602,5,01/01/2021,31/12/2026,25/03/2021,25/03/2021,25/03/2021,25/03/2021,RENEWALS,501,A,7,8,2,5HY,P,0,N,N,Not Comp,7500,15000,,
148734,10872,5,01/01/2017,31/12/2021,04/05/2017,04/05/2017,04/05/2017,04/05/2017,RENEWALS,501,A,9,9,1,Y,Y,0,Y,N,Not Comp,0,0,,
170647,12910,1,01/01/2019,31/12/2019,12/04/2019,12/04/2019,12/04/2019,12/04/2019,RENEWALS,501,A,10,11,2,Y,Y,0,N,N,Not Comp,0,0,,
152629,2806,10,01/09/2014,31/08/2024,22/08/2014,22/08/2014,22/08/2014,22/08/2014,RENEWALS,501,A,12,13,2,GXP,Y,0,N,N,Not Comp,13200,26400,,
107116,11091,11,01/01/2017,31/12/2027,26/06/2017,26/06/2017,26/06/2017,26/06/2017,RENEWALS,501,A,14,14,1,10HY,Y,0,N,N,Not Comp,12500,12500,,
107116,11092,11,01/01/2017,31/12/2027,26/06/2017,26/06/2017,26/06/2017,26/06/2017,RENEWALS,501,A,15,17,3,10HY,Y,0,N,N,Not Comp,12500,37500,,
211854,11264,10,01/09/2017,31/08/2027,14/09/2017,14/09/2017,14/09/2017,14/09/2017,RENEWALS,501,A,18,18,1,10HY,Y,0,N,N,Not Comp,12500,12500,,
211854,11265,10,01/09/2017,31/08/2027,14/09/2017,14/09/2017,14/09/2017,14/09/2017,RENEWALS,501,A,19,21,3,10HY,Y,0,N,N,Not Comp,12500,37500,,
130096,12911,2,01/01/2019,31/12/2021,12/04/2019,12/04/2019,12/04/2019,12/04/2019,RENEWALS,501,A,22,23,2,501,Y,0,N,N,Not Comp,0,0,,
354316,12913,2,01/01/2019,31/12/2020,12/04/2019,12/04/2019,12/04/2019,12/04/2019,RENEWALS,501,A,24,26,3,501,Y,0,N,N,Not Comp,0,0,,
354316,12912,2,01/01/2019,31/12/2020,12/04/2019,12/04/2019,12/04/2019,12/04/2019,RENEWALS,501,A,27,27,1,501,Y,0,N,N,Not Comp,0,0,,
148734,10873,5,01/01/2017,31/12/2021,04/05/2017,04/05/2017,04/05/2017,04/05/2017,RENEWALS,501,B,1,1,1,Y,Y,0,Y,N,Not Comp,0,0,,
152629,2805,10,01/09/2014,31/08/2024,22/08/2014,22/08/2014,22/08/2014,22/08/2014,RENEWALS,501,B,2,3,2,GXP,Y,0,N,N,Not Comp,13200,26400,,
212027,11289,5,01/09/2017,31/12/2022,20/09/2017,20/09/2017,20/09/2017,20/09/2017,RENEWALS,501,B,10,11,2,5HY,Y,0,N,N,Not Comp,7650,15300,,
293423,12044,10,01/06/2018,31/05/2028,21/06/2018,21/06/2018,21/06/2018,21/06/2018,RENEWALS,501,B,12,13,2,10HY,Y,0,N,N,Not Comp,12500,25000,,
