acct_id,invoice_balance,total_bought,total_paid,total_owed,ticket_bought,ticket_paid,ticket_owed,sc_bought,sc_paid,sc_owed,donations_pledged,donations_received,donations_owed,on_account_payments,other,charge_back_count,charge_back_amount,acct_type_desc,tag
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAI,
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAI,
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAI,
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAI,
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAI,
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAI,
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAI,
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAI,
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAI,
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAI,
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAI,
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAI,
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAI,
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAI,
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAI,
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAI,
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAI,
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAI,
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAI,
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAI,
